stock;0
new;1
via;0
buy;1
market;0
short;-1
see;0
like;1
earnings;1
day;0
get;1
one;0
share;0
trading;0
good;1
price;0
inc.;0
top;1
today;0
report;0
long;1
time;0
call;1
trade;-1
look;0
last;0
chart;0
pick;0
nice;1
week;0
big;0
watch;0
still;0
great;1
don't;-1
it's;0
sell;-1
result;0
rating;0
news;0
go;0
back;0
company;0
make;0
target;0
high;1
best;1
would;0
year;0
analyst;0
going;0
could;0
think;0
need;0
next;0
say;0
commented;0
investor;0
i'm;0
bullish;1
low;-1
know;0
looking;0
november;0
move;0
take;0
first;0
alert;0
check;0
inc;0
close;0
apple;0
sale;0
gain;1
want;0
may;0
holding;0
filed;0
data;0
rate;0
thanks;0
volume;0
morning;0
daily;0
coming;0
people;0
right;0
way;0
another;0
stocktwits:;0
strong;1
group;0
much;0
nov;0
growth;1
made;0
filing;0
oil;0
eps;0
since;0
ceo;0
well;1
revenue;1
thing;0
profit;1
money;0
got;0
even;0
energy;0
update;0
put;-1
open;0
play;0
change;0
hit;0
financial;0
hold;0
moment;0
dividend;1
buying;1
capital;0
signal;0
sec;0
street;0
better;0
option;0
bank;0
today.;0
beat;0
love;1
deal;1
keep;0
higher;1
support;0
really;0
come;0
find;0
u.s.;0
bought;1
real;0
announces;0
tomorrow;0
quarter;0
month;0
lol;0
video;0
let;0
cash;0
lot;0
ago:;0
trader;0
free;0
wall;0
getting;0
updated;0
million;0
plc;0
break;0
business;0
show;0
china;0
fund;0
la;0
en;0
miss;0
value;0
sold;-1
today's;0
work;0
can't;0
read;0
v;0
stop;0
list;0
technology;0
world;0
also;0
current;0
many;0
post;0
lower;-1
small;-1
story;0
gap;0
huge;0
corp.;0
bad;-1
never;0
potential;1
position;0
today:;0
corp;0
watching;0
that's;0
set;0
insider;0
news:;0
live;0
etf;0
combo;0
start;0
loss;-1
tech;0
member;0
two;0
run;0
use;0
point;0
worth;0
future;0
add;0
idea;0
biotech;0
security;0
action;0
level;0
end;0
ipo;0
penny;0
pt;0
reported;0
subscribe;0
seeing;0
give;0
breakout;1
pot.;0
twitter;0
drug;0
per;0
global;0
yesterday;0
bounce;0
american;0
help;0
thought;0
guy;0
record;0
hour;0
service;0
job;0
it.;0
board;0
might;0
le;0
making;0
cut;0
plan;0
bull;1
total;0
corporation;0
interest;1
hope;1
drop;-1
gold;1
term;0
early;0
pharmaceutical;0
third;0
stay;0
selling;-1
billion;0
little;0
sector;0
investment;0
team;0
near;0
sure;0
always;0
technical;0
weekly;0
interesting;0
w/;0
analysis;0
industry;0
rt;0
release;0
fed;0
friday,;0
already;0
moving;0
offer;0
risk;-1
fall;-1
added;0
bottom;-1
recent;0
october;0
worst;-1
pay;0
conference;0
due;0
talk;0
win;0
trend;0
almost;0
ever;0
downtrend;-1
name;0
months!;0
latest;0
average;0
part;0
international;0
life;0
every;0
research;0
didn't;0
consensus;0
said;0
seen;0
maybe;0
credit;0
key;0
around;0
upside;1
trying;0
statement;0
management;0
hike;1
must;0
taking;0
cap;0
past;0
google;0
index;0
thank;0
resistance;0
bear;-1
you're;0
el;0
net;0
sign;0
issue;0
estimate;0
seems;0
w;0
ahead;0
increase;0
mean;0
learn;0
director;0
rev;0
study;0
acquisition;0
join;0
doesn't;0
system;0
est;0
biggest;0
quarterly;0
info;0
now.;0
out!;0
tip;0
full;0
uptrend;0
nasdaq;0
based;0
raise;0
positive;0
hard;0
number;0
game;0
intraday;0
trial;0
far;0
went;0
follow;0
green;1
won't;0
home;0
ownership;0
setup;0
pattern;0
expected;0
sentiment;0
bid;0
rise;1
target:;0
form;0
downgrade;-1
forecast;0
here:;0
minute;0
gained;0
major;0
return;0
bond;0
power;0
app;0
half;0
play:;0
save;0
what's;0
something;0
volatility;0
rally;0
review;0
out.;0
line;0
medium;0
dow;0
pretty;0
happy;1
soon;0
on:;0
swing;0
rated;0
product;1
health;0
site;0
dollar;0
increased;1
view;0
following;0
e;0
co;0
saw;0
monday;0
reiterated;0
bearish;1
covered;0
starting;0
waiting;0
took;0
try;0
closed;0
wait;0
large;1
feel;0
here's;0
pm;0
dip;0
tell;0
using;0
friday;0
man;0
anyone;0
eye;0
beneficial;0
article;0
room;0
vía;0
phase;0
state;0
please;0
reason;0
done;0
co.;0
week.;0
finance;0
isn't;0
webcast;0
ready;0
available;0
active;0
trust;0
user;0
medical;0
present;0
online;0
probably;0
yet;0
closing;0
food;0
tweet;0
message;0
i'll;0
asset;0
cost;0
head;0
negative;-1
partner;0
platinum;0
opportunity;0
believe;0
nothing;0
yes;0
cancer;0
possible;0
three;0
massive;0
guidance;0
dd;0
given;0
social;0
here.;0
longerterm;0
wly-dly-hly;0
gainer;1
entry;0
weak;-1
equity;0
working;0
pharma;0
pick:;0
bit;0
science;0
upgrade;1
ask;0
sftw;0
likely;0
que;0
success;1
day.;0
case;0
listen;0
everyone;0
therapeutic;0
patient;0
pop;0
track;0
catalyst;0
ltd;0
stake;-1
today,;0
special;0
cover;0
continue;0
order;0
solid;1
i've;0
link;0
red;0
finally;0
expect;0
someone;0
fda;0
healthcare;0
second;0
strategy;1
resource;0
mobile;0
undervalued;1
y;0
car;0
portfolio;0
investing;0
launch;1
facebook;0
hey;0
old;-1
detail;0
da;0
pullback;-1
test;0
away;0
store;0
range;0
within;0
premarket;0
volume:;0
turn;0
retail;0
loser;0
care;0
pro;0
let's;0
intraweek;0
reporting;0
stocks:;0
breaking;0
single;0
easy;0
cont.;0
guess;0
downgraded;-1
up;1
debt;-1
push;0
oh;0
winner;1
upgraded;1
wrong;0
enough;0
agree;0
shareholder;0
natural;0
least;0
here!;0
margin;0
problem;0
question;0
announced;0
neutral;0
gas;0
account;0
valeant;0
late;0
se;0
water;0
showing;0
fundamental;0
consumer;0
without;0
city;0
vs.;0
cell;0
bet;0
quick;0
tax;0
academic;0
corporate;0
transaction;0
comment;0
dont;0
chinese;0
actually;0
solar;0
lead;0
amazing;1
momentum;0
smart;0
free.;0
alert:;0
yield;0
awesome;1
focus;0
hot;1
estate;0
used;0
profitable;1
started;0
public;0
hod;0
me.;0
ma;0
tv;0
shorted;0
personal;0
email;0
we're;0
morgan;0
internet;0
gave;0
found;0
talking;0
weekend;0
out:;0
place;0
matter;0
area;0
called;0
yesterday.;0
vetr;0
pt.;0
become;0
black;0
commodity;0
material;0
double;0
john;0
giving;0
national;0
ago;0
ltd.;0
lost;0
imo;0
indicator;0
firm;1
un;0
highly;1
note;0
relative;0
continues;0
chance;0
book;0
hear;0
america;0
among;0
fast;0
step;0
side;0
event;0
leader;0
sound;0
presentation;0
september;0
hedge;0
night;0
largest;0
ad;0
program;0
startup;0
forward;1
morning.;0
d;0
left;0
trade..;0
saying;0
tuesday;0
halt;0
wish;0
everything;0
millionaires:;0
buy,;0
um;0
network;0
tim;0
merger;0
incredible;1
missed;0
buyer;0
chat;0
growing;1
traded;-1
boost;1
spdr;0
whole;0
anything;0
ishares;0
income;0
alibaba;0
bill;0
b;0
rest;0
min;0
he's;0
list:;0
model;0
watchlist;0
it,;0
chase;0
thinking;0
offering;0
brand;0
congrats;0
remember;0
it!;0
jump;0
marijuana;0
digital;0
falling;-1
blog;0
experience;0
wow;0
diligence;0
deutsche;0
limited;0
shit;0
pull;-1
hate;-1
notable;1
invest;1
outperform;1
growth;1
strength;1
raised;1
